x1;x2;x3;x4;x5;x6;x7;y
5.59;7.94;8.29;8.47;15980000;382.29;167950000;23.08859766
5.59;7.96;8.3;8.49;15500000;380.13;134230000;25.41861995
5.62;7.97;8.32;8.52;16139999;378.59;155200000;25.70416546
5.57;7.97;8.33;8.52;17440001;375.09;156440000;25.53077928
5.56;7.91;8.3;8.48;16750000;375.42;163980000;25.64306643
5.57;7.95;8.32;8.51;16510000;377.75;193310000;26.05029782
5.56;7.98;8.33;8.51;18280001;370.94;137940000;27.3937564
5.58;7.99;8.33;8.51;17850000;370.65;155710000;27.37326319
5.56;7.98;8.33;8.51;17980000;371.59;187170000;27.44783229
5.55;7.97;8.32;8.49;17870001;374.4;163080000;27.5625
5.54;7.9;8.24;8.42;19549999;371.16;163770000;29.02564932
5.58;7.93;8.26;8.44;18639999;377.92;167480000;26.95787468
5.58;7.95;8.27;8.44;17629999;377.47;157290000;26.98285956
5.56;7.92;8.26;8.42;19469999;373.33;140580000;29.22502879
5.58;8.01;8.34;8.49;18350000;374.08;69910000;28.71065013
5.57;8;8.34;8.51;20290001;377.94;138330000;27.30708578
5.59;8.02;8.36;8.53;19760000;376.11;151820000;26.88006168
5.58;8;8.35;8.53;19190001;375.74;178290000;26.77181029
5.56;7.95;8.3;8.47;17389999;376.97;157930000;27.05843966
5.55;7.9;8.26;8.44;18290001;380.25;174770000;26.17882972
5.57;7.9;8.26;8.44;17780001;382.39;161750000;26.19874997
5.59;7.91;8.27;8.46;17490000;381.54;182990000;27.34979294
5.61;7.94;8.3;8.49;17520000;381.18;195460000;27.73933575
5.59;7.95;8.31;8.5;15770000;385.37;200930000;26.45410904
5.58;7.91;8.28;8.48;15500000;384.22;190700000;26.77039196
5.57;7.92;8.28;8.48;16900000;382.88;149050000;26.56936899
5.59;7.96;8.31;8.5;16580000;379.42;160190000;28.95187391
5.58;7.86;8.24;8.42;16410000;378.64;158700000;29.14810902
5.58;7.81;8.2;8.38;15740000;380.96;145800000;28.19445611
5.58;7.82;8.2;8.39;15450000;380.93;127760000;27.62497047
5.57;7.81;8.2;8.39;15670000;383.15;136000000;27.27104267
5.56;7.81;8.21;8.39;15470000;386.69;169010000;26.7577129
5.53;7.77;8.2;8.36;15180000;387.81;166830000;26.5389237
5.55;7.78;8.2;8.38;15470000;387.12;170610000;26.57088241
5.46;7.62;8.06;8.25;15260000;387.18;162270000;25.58675551
5.5;7.62;8.04;8.24;15920000;385.06;128050000;23.76917883
5.41;7.54;7.97;8.18;15540000;390.62;174460000;23.13532333
5.38;7.51;7.93;8.17;15560000;390.56;172220000;26.00768128
5.37;7.53;7.98;8.22;15980000;389.32;163890000;26.5162848
5.32;7.51;7.98;8.23;15450000;387.12;143740000;27.82114073
5.31;7.49;7.95;8.21;15260000;388.02;145440000;27.50249987
